en-US,es-ES,pt-PT,fr-FR,de-DE,nl-NL,ga-IE,ru-RU,he-IL,hi-IN,ja-JP,zh-CN
Afghanistan,Afganistán,Afeganistão,Afghanistan,Afghanistan,Afghanistan,An Afganastáin,Афганистан,אפגניסטן,अफ़गानिस्तान,アフガニスタン,阿富汗
Albania,Albania,Albânia,Albanie,Albanien,Albanië,An Albáin,Албания,אלבניה,अल्बानिया,アルバニア,阿尔巴尼亚
Algeria,Argelia,Argélia,Algérie,Algerien,Algerije,An Ailgéir,Алжир,אלג\'יריה,अल्जीरिया,アルジェリア,阿尔及利亚
Angola,Angola,Angola,Angola,Angola,Angola,Angóla,Ангола,אנגולה,अंगोला,アンゴラ,安哥拉
Antigua and Barbuda,Antigua y Barbuda,Antígua e Barbuda,Antigua-et-Barbuda,Antigua und Barbuda,Antigua en Barbuda,Antigua agus Barbuda,Антигуа и Барбуда,אנטיגואה וברבודה,एंटीगुआ और बारबुडा,アンティグア・バーブーダ,安提瓜和巴布达
Argentina,Argentina,Argentina,Argentine,Argentinien,Argentinië,An Airgintín,Аргентина,ארגנטינה,अर्जेंटीना,アルゼンチン,阿根廷
Armenia,Armenia,Arménia,Arménie,Armenien,Armenië,An Airméin,Армения,ארמניה,आर्मीनिया,アルメニア,亚美尼亚
Aruba,Aruba,Rio Aruba,Aruba,Aruba,Aruba,Arúbó,Аруба,ארובה,अरूबा,アルバ,阿鲁巴岛
Australia,Australia,Austrália,Australie,Australien,Australië,An Astráil,Австралия,אוסטרליה,ऑस्ट्रेलिया,オーストラリア,澳大利亚
Austria,Austria,Áustria,Autriche,Österreich,Oostenrijk,An Ostair,Австрия,אוסטריה,ऑस्ट्रिया,オーストリア,奥地利
Azerbaijan,Azerbaiyán,Azerbaijão,Azerbaïdjan,Aserbaidschan,Azerbeidzjan,An Asarbaiseáin,Азербайджан,אזרבייג\'ן,अज़रबैजान,アゼルバイジャン,阿塞拜疆
Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Na Bahámaí,Багамские Острова,בהאמה,बहामास,バハマ,巴哈马
Bahrain,Bahrein,Bahrein,Bahreïn,Bahrain,Bahrein,Bairéin,Бахрейн,בחריין,बहरीन,バーレーン,巴林
Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesch,Bangladesh,An Bhanglaidéis,Бангладеш,בנגלדש,बांग्लादेश,バングラデシュ,孟加拉国
Barbados,Barbados,Bárbaros,Barbade,Barbados,Barbados,Barbadós,Барбадос,ברבדוס,बारबाडोस,バルバドス,巴巴多斯
Belarus,Bielorrusia,Bielorrússia,Biélorussie,Belarus,Wit-Rusland,An Bhealarúis,Беларусь,בלרוס,बेलारूस,ベラルーシ,白俄罗斯
Belgium,Bélgica,Bélgica,Belgique,Belgien,België,An Bheilg,Бельгия,בלגיה,बेल्जियम,ベルギー,比利时
Belize,Belice,Belize,Belize,Belize,Belize,An Bheilís,Белиз,בליז,बेलीज़,ベリーズ,伯利兹
Benin,Benin,Rio Benin,Bénin,Benin,Benin,Beininin,Бенин,בנין,बेनिन,ベナン,贝宁
Bermuda,Bermudas,Bermudas,Bermudes,Bermuda,Bermuda,Beirmiúda,Бермуды,ברמודה,बरमूडा,バーミューダ,百慕大
Bhutan,Bhután,Butão,Bhoutan,Bhutan,Bhutan,An Bhútáin,Бутан,בהוטן,भूटान,ブータン,不丹
Bolivia,Bolivia,Bolívia,Bolivie,Bolivien,Bolivia,An Bholaiv,Боливия,בוליביה,बोलीविया,ボリビア,玻利维亚
Bosnia,Bosnia,Bósnia,Bosnie,Bosnien,Bosnië,An Bhoisnia,Босния,בוסניה,बोस्निया,ボスニア,波斯尼亚
Botswana,Botswana,Botsuana,Botswana,Botswana,Botswana,An Bhotsuáin,Ботсвана,בוטסואנה,बोत्सवाना,ボツワナ,博茨瓦纳
Brazil,Brasil,Brasil,Brésil,Brazilien,Brazilië,An Bhrasaíl,Бразилия,ברזיל,ब्राज़ील,ブラジル,巴西
British Virgin Islands,Islas Vírgenes Británicas,Ilhas Virgens Britânicas,Îles Vierges britanniques,Britische Jungferninseln,Britse Maagdeneilanden,Oileáin Mhaighdean na Breataine,Британские Виргинские острова,איי הבתולה הבריטיים,ब्रिटिश वर्जिन आइलैंड्स,イギリス領ヴァージン諸島,英属维尔京群岛
Brunei,Brunéi,Rio Brunei,Brunei,Brunei,Brunei,Brúiné,Бруней,ברוניי,ब्रुनेई,ブルネイ,文莱
Bulgaria,Bulgaria,Bulgária,Bulgarie,Bulgarien,Bulgarije,An Bhulgáir,Болгария,בולגריה,बल्गारिया,ブルガリア,保加利亚
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Buircíne Fasó,Буркина-Фасо,בורקינה פאסו,बुर्किना फासो,ブルキナファソ,布基纳法索
Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,An Bhurúin,Бурунди,בורונדי,बुरुंडी,ブルンジ,蒲隆地
Cambodia,Camboya,Camboja,Cambodge,Kambodscha,Cambodja,An Chambóid,Камбоджа,קמבודיה,कम्बोडिया,カンボジア,柬埔寨
Cameroon,Camerún,Camarões,Cameroun,Kamerun,Kameroen,Camarún,Камерун,קמרון,कैमरून,カメルーン,喀麦隆
Canada,Canadá,Canadá,Canada,Kanada,Canada,Ceanada,Канада,קנדה,कनाडा,カナダ,加拿大
Cayman Islands,Islas Caimán,Ilhas Caimão,Îles Caïmanes,Kaimaninseln,Caymaneilanden,Oileáin Cayman,Каймановы острова,איי קיימן,केमैन आइलैंड्स,ケイマン諸島,开曼群岛
Central African Republic,República Centroafricana,República Centro-Africana,République centrafricaine,Zentralafrikanische Republik,Centraal-Afrikaanse Republiek,Poblacht na hAfraice Láir,Центральноафриканская Республика,הרפובליקה המרכז אפריקאית,मध्य अफ्रीकी गणराज्य,中央アフリカ共和国,中非共和国
Chad,Chad,Rio Chade,Tchad,Tschad,Tsjaad,Sead,Чад,צ׳אד,चाड,チャド,乍得
Chile,Chile,Chile,Chili,Chile,Chili,An tSile,Чили,צ\'ילה,चिली,チリ,智利
China,China,China,Chine,China,China,An tSín,Китай,סין,चीन,中国,中国
Colombia,Colombia,Colômbia,Colombie,Kolumbien,Colombia,An Cholóim,Колумбия,קולומביה,कोलंबिया,コロンビア,哥伦比亚
Comoros,Comoras,Comores,Comores,Komoren,Comoren,Na Comoros,Коморские Острова,קומורו,कोमोरोस,コモロ,科摩罗
Congo,Congo,Congo,Congo,Kongo,Congo,An Chongó,Конго,קונגו,कांगो,コンゴ共和国,刚果
Cook Islands,Islas Cook,Ilhas Cook,Îles Cook,Cookinseln,Cookeilanden,Oileáin Cook,Острова Кука,איי קוק,कुक आइलैंड्स,クック諸島,库克群岛
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Cósta Ríce,Коста-Рика,קוסטה ריקה,कोस्टा रिका,コスタリカ,哥斯达黎加
Côte d'Ivoire,Costa de Marfil,Costa do Marfim,Côte d’Ivoire,Elfenbeinküste,Ivoorkust,An Cósta Eabhair,Кот-д'Ивуар,חוף השנהב,कोटे डी आइवर,コートジボワール,科特迪瓦
Croatia,Croacia,Croácia,Croatie (Hrvatska),Kroatien,Kroatië,An Chróit,Хорватия,קרואטיה,क्रोएशिया,クロアチア,克罗地亚
Cuba,Cuba,Cuba,Cuba,Kuba,Cuba,Cúba,Куба,קובה,क्यूबा,キューバ,古巴
Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Кюрасао,קוראסאו,कुराकाओ,キュラソー,库拉索
Cyprus,Chipre,Chipre,Chypre,Zypern,Cyprus,An Chipir,Кипр,קפריסין,साइप्रस,キプロス,塞浦路斯
Czech Republic,República Checa,República Checa,République tchèque,Tschechische Republik,Tsjechische Republiek,Poblacht na Seice,Чешская Республика,הרפובליקה הצ\'כית,चेक गणराज्य,チェコ共和国,捷克共和国
Denmark,Dinamarca,Dinamarca,Danemark,Dänemark,Denemarken,An Danmhairg,Дания,דנמרק,डेनमार्क,デンマーク,丹麦
Djibouti,Yibuti,Djibuti,Djibouti,Dschibuti,Djibouti,Djibouti,Джибути,ג׳יבוטי,जिबूती,ジブチ,吉布提
Dominica,Dominica,Dominica,Dominique,Dominica,Dominica,Doiminice,Доминика,דומיניקה,डोमिनिका,ドミニカ国,多米尼加
