Object Type,Object Name,en-US,nl-NL
Table,Customers,Customers,Klanten
Column,Customers[City Name],City Name,Plaatsnaam
Column,Customers[Birth Date],Birth Date,geboortedatum
Column,Customers[Customer],Customer,klant
Column,Customers[City],City,stad
Column,Customers[Age],Age,leeftijd
Column,Customers[Flag],Flag,vlag
Table,Sales,Sales,verkoop
Measure,Sales[Sales Revenue],Sales Revenue,Omzet
Measure,Sales[Units Sold],Units Sold,Verkochte eenheden
Measure,Sales[Customer Count],Customer Count,Aantal klanten
Measure,Sales[Order Count],Order Count,Aantal bestellingen
Measure,Sales[Product Rank],Product Rank,Productrangschikking
Measure,Sales[Customer Rank],Customer Rank,Rangschikking van de klant
Table,Calendar,Calendar,kalender
Column,Calendar[Date],Date,datum
Column,Calendar[Year],Year,jaar
Column,Calendar[Quarter],Quarter,wijk
Column,Calendar[Month],Month,maand
Measure,Localized Labels[Sales by Product],Sales by Product,Verkoop per product
Measure,Localized Labels[Home],Home,thuis
Measure,Localized Labels[Sales by Country],Sales by Country,Verkoop per land
Measure,Localized Labels[European Sales Report],European Sales Report,Europees verkooprapport
Measure,Localized Labels[Top 5 Products],Top 5 Products,Top 5 Producten
Measure,Localized Labels[Filter by Country],Filter by Country,Filteren op land
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,Top 10 klanten
Measure,Localized Labels[Sales by Category],Sales by Category,Verkoop per categorie
Measure,Localized Labels[Sales by City],Sales by City,Verkoop per stad
Measure,Localized Labels[Power BI],Power BI,Power BI
Measure,Localized Labels[Dev Camp],Dev Camp,Dev Kamp
Measure,Localized Labels[Set Country Filter],Set Country Filter,Landfilter instellen
Measure,Localized Labels[Set Product Filter],Set Product Filter,Productfilter instellen
Measure,Localized Labels[User Culture],User Culture,Gebruikerscultuur
Table,Products,Products,Producten
Column,Products[Product],Product,product
Column,Products[Category],Category,categorie
Column,Products[Price],Price,prijs
Column,Products[Image],Image,beeld
Table,Countries,Countries,Landen
Column,Countries[Country],Country,land
Column,Countries[Flag],Flag,vlag
