Object Type,Object Name,en-US,es-ES
Table,Customers,Customers,Clientes
Column,Customers[City Name],City Name,Nombre de la ciudad
Column,Customers[Birth Date],Birth Date,Fecha de nacimiento
Column,Customers[Customer],Customer,Cliente
Column,Customers[City],City,Ciudad
Column,Customers[Age],Age,Edad
Column,Customers[Flag],Flag,Bandera
Table,Sales,Sales,Ventas
Measure,Sales[Sales Revenue],Sales Revenue,Ingresos por ventas
Measure,Sales[Units Sold],Units Sold,Unidades vendidas
Measure,Sales[Customer Count],Customer Count,Recuento de clientes
Measure,Sales[Order Count],Order Count,Recuento de pedidos
Measure,Sales[Product Rank],Product Rank,Ranking de productos
Measure,Sales[Customer Rank],Customer Rank,Ranking de clientes
Table,Calendar,Calendar,Calendario
Column,Calendar[Date],Date,Fecha
Column,Calendar[Year],Year,Año
Column,Calendar[Quarter],Quarter,Cuatrimestre
Column,Calendar[Month],Month,Mes
Measure,Localized Labels[Sales by Product],Sales by Product,Ventas por producto
Measure,Localized Labels[Home],Home,Hogar
Measure,Localized Labels[Sales by Country],Sales by Country,Ventas por país
Measure,Localized Labels[European Sales Report],European Sales Report,Informe europeo de ventas
Measure,Localized Labels[Top 5 Products],Top 5 Products,Los 5 mejores productos
Measure,Localized Labels[Filter by Country],Filter by Country,Filtrar por país
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,Los 10 mejores clientes
Measure,Localized Labels[Sales by Category],Sales by Category,Ventas por categoría
Measure,Localized Labels[Sales by City],Sales by City,Ventas por ciudad
Measure,Localized Labels[Power BI],Power BI,Power BI
Measure,Localized Labels[Dev Camp],Dev Camp,Práctica de desarrollo
Measure,Localized Labels[Set Country Filter],Set Country Filter,Establecer filtro de país
Measure,Localized Labels[Set Product Filter],Set Product Filter,Establecer filtro de producto
Measure,Localized Labels[User Culture],User Culture,Cultura del usuario
Table,Products,Products,Productos
Column,Products[Product],Product,Producto
Column,Products[Category],Category,Categoría
Column,Products[Price],Price,Precio
Column,Products[Image],Image,Imágen
Table,Countries,Countries,Países
Column,Countries[Country],Country,País
Column,Countries[Flag],Flag,Bandera
