Object Type,Object Name,en-US,fr-FR
Table,Customers,Customers,
Column,Customers[Country],Country,
Column,Customers[City Name],City Name,
Column,Customers[Birth Date],Birth Date,
Column,Customers[Customer],Customer,
Column,Customers[City],City,
Column,Customers[Flag],Flag,
Column,Customers[Age],Age,
Table,Sales,Sales,
Measure,Sales[Sales Revenue],Sales Revenue,
Measure,Sales[Units Sold],Units Sold,
Measure,Sales[Customer Count],Customer Count,
Measure,Sales[Order Count],Order Count,
Measure,Sales[Product Rank],Product Rank,
Measure,Sales[Customer Rank],Customer Rank,
Table,Products,Products,
Column,Products[Product],Product,
Column,Products[Category],Category,
Column,Products[Price],Price,
Column,Products[Image],Image,
Table,Calendar,Calendar,
Column,Calendar[Date],Date,
Column,Calendar[Year],Year,
Column,Calendar[Quarter],Quarter,
Column,Calendar[Month],Month,
Measure,Localized Labels[Sales by Product],Sales by Product,
Measure,Localized Labels[Home],Home,
Measure,Localized Labels[Sales by Country],Sales by Country,
Measure,Localized Labels[European Sales Report],European Sales Report,
Measure,Localized Labels[Top 5 Products],Top 5 Products,
Measure,Localized Labels[Filter by Country],Filter by Country,
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,
Measure,Localized Labels[Dev Camp],Dev Camp,
Measure,Localized Labels[Sales by Category],Sales by Category,
Measure,Localized Labels[Sales by City],Sales by City,
Measure,Localized Labels[Power BI],Power BI,
Measure,Localized Labels[User Culture],User Culture,
Measure,Localized Labels[Set Country Filter],Set Country Filter,
Measure,Localized Labels[Set Product Filter],Set Product Filter,
Measure,Localized Labels[Hi Mom],Hi Mom,
