Object Type,Object Name,en-US,fr-FR
Table,Customers,Customers,
Column,Customers[Country],Country,
Column,Customers[City Name],City Name,
Column,Customers[Birth Date],Birth Date,
Column,Customers[Customer],Customer,
Column,Customers[City],City,
Column,Customers[Flag],Flag,
Column,Customers[Age],Age,
Table,Sales,Sales,
Measure,Sales[Sales Revenue],Sales Revenue,
Measure,Sales[Units Sold],Units Sold,
Measure,Sales[Customer Count],Customer Count,
Measure,Sales[Order Count],Order Count,
Measure,Sales[Product Rank],Product Rank,
Measure,Sales[Customer Rank],Customer Rank,
Table,Products,Products,
Column,Products[Product],Product,
Column,Products[Category],Category,
Column,Products[List Price],List Price,
Column,Products[Image],Image,
Table,Calendar,Calendar,
Column,Calendar[Date],Date,
Column,Calendar[Year],Year,
Column,Calendar[Quarter],Quarter,
Column,Calendar[Month],Month,
Measure,Localized Labels[Sales by Product],Sales by Product,
Measure,Localized Labels[Home],Home,
Measure,Localized Labels[Sales by Country],Sales by Country,
Measure,Localized Labels[European Sales Report],European Sales Report,
Measure,Localized Labels[Top 5 Products],Top 5 Products,
Measure,Localized Labels[Filter by Country],Filter by Country,
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,
Measure,Localized Labels[Drilldown by Product],Drilldown by Product,
Measure,Localized Labels[Drilldown by City],Drilldown by City,
